text,sentiment,labels
"InterContinental Danang Sun Peninsula Resort là m?t thiên ???ng tuy?t ??p t?i ?à N?ng, n?i ki?n trúc ??ng c?p c?a ki?n trúc s? Bill Bensley k?t h?p hoàn h?o v?i thiên nhiên hùng v?.",1,"['FACILITIES#DESIGN&FEATURES', 'HOTEL#GENERAL', 'HOTEL#QUALITY']"
"D?ch v? t?i ?ây th?t xu?t s?c, ??c bi?t là s? h? tr? nhi?t tình t? ch? Nhi l? tân.",1,"['FACILITIES#QUALITY', 'SERVICE#GENERAL']"
"Hãy ??n và tr?i nghi?m nh?ng kho?nh kh?c tuy?t v?i t?i n?i này – Vi?t Nam ??p nh? v?y, c?n gì ph?i ?i n??c ngoài!",1,"['FACILITIES#DESIGN&FEATURES', 'FACILITIES#MISCELLANEOUS']"
??????,1,['HOTEL#GENERAL']
"Tr?i nghi?m d?ch v? , ch?t l??ng trên c? tuy?t v?i .",1,"['FACILITIES#MISCELLANEOUS', 'FACILITIES#QUALITY', 'SERVICE#GENERAL']"
"M?i th? t? s? t?n tình c?a các b?n nhân viên , ??n v? ngon và c?nh ??p t? khu ngh? d??ng và nhà hàng s? khi?n tôi s? ph?i quay l?i ?ây th??ng xuyên h?n .",1,"['FACILITIES#DESIGN&FEATURES', 'FOOD&DRINKS#QUALITY', 'HOTEL#GENERAL', 'SERVICE#GENERAL']"
,-1,['HOTEL#MISCELLANEOUS']
"Uyên Lê ph?c v? nhi?t tình, chu ?áo, vui v?, nhanh nh?n.",1,['SERVICE#GENERAL']
"Món ?n ngon và lên r?t nhanh, b?t ??u t? nh?ng món khai v? nh? salad, bánh mì, sau ?ó là th?t bò, m? ý, pizza, cu?i cùng là tráng mi?ng.",1,['FOOD&DRINKS#QUALITY']
"Mình r?t thích Tiramisu ? ?ây, mình ?ánh giá 9/10.",1,['HOTEL#GENERAL']
T?ng quan c? ph?c v? và ?? ?n 9/10o,1,['SERVICE#GENERAL']
"nhân viên quá t?t , thân thi?n v?i m?i ng??i ?? ?n ngon view siêu ??p ???c hoà mình vào thiên nhiên và th?y ???c kh? kh?p n?i trên resort có các d?ch v? l?n bi?n , câu cá,… siêu siêu ??p n?u vó d?p tôi ph?i quay l?i ?ây b?i vì ?ây là 1 trong nh?ng khách s?n t?t nh?t vi?t nam.",1,"['FACILITIES#DESIGN&FEATURES', 'FACILITIES#QUALITY', 'FOOD&DRINKS#QUALITY', 'HOTEL#GENERAL', 'SERVICE#GENERAL']"
Tôi và ??i ng? The Planners ?ã có 3 ngày 2 ?êm th?t tuy?t v?i khi ngh? d??ng và tham d? s? ki?n Vietnam Destination Wedding Congress t?i ICDN.,1,['HOTEL#GENERAL']
"Không gian ngh? d??ng quá ??p, t?t c? các b?a ?n ??u tuy?t v?i.",1,['FACILITIES#DESIGN&FEATURES']
Chúng tôi ???c take care r?t k? càng t? ??i ng? c?a ICDN trong m?i m?t.,1,['HOTEL#GENERAL']
R?t vui m?ng khi s? ki?n ?ã là ti?n ?? t?o s? phát tri?n cho ti?c c??i du l?ch t?i Vi?t Nam!!,1,['HOTEL#GENERAL']
!,1,['HOTEL#GENERAL']
"Resort có ki?n trúc ??p, không gian trong lành và tho?i mái, service chuyên nghi?p, nhanh chóng và thân thi?n, phòng r?ng rãi, nhi?u ti?n ích, luôn trong tr?ng thái s?ch s?, ng?n n?p.",1,"['FACILITIES#CLEANLINESS', 'FACILITIES#COMFORT', 'FACILITIES#DESIGN&FEATURES', 'FACILITIES#GENERAL', 'HOTEL#GENERAL', 'ROOMS#GENERAL', 'SERVICE#GENERAL']"
C?m ?n IC ?à N?ng ?ã cho chúng tôi nh?ng tr?i nghi?m tuy?t v?i.,1,['FACILITIES#MISCELLANEOUS']
Resort 10 ?i?m không có nh?ng .,1,['HOTEL#GENERAL']
Nhân viên t?n tâm chuyên nghi?p nhi?t tình có tâm vô cùng.,1,['SERVICE#GENERAL']
B?n Lý ( Ly ) t?i nhà hàng h?i s?n n??ng sát bi?n và anh S?n ph? trách d??i bi?n tuy?t v?i luôn.,1,['HOTEL#GENERAL']
Quá là ok ko có t? gì ?? chê trách.,1,['HOTEL#GENERAL']
?????? nói chung là perfect!!!!,1,['HOTEL#GENERAL']
!,1,['HOTEL#GENERAL']
A day of experience at Intercontinental Danang was very interesting.,1,['HOTEL#GENERAL']
"There are many things here that impress me: the resorts are located on the peninsula and there are many monkeys, and the cable car transportation is very strange.",1,['HOTEL#GENERAL']
"All the staff here are very kind, lovely and enthusiastic.",1,['HOTEL#GENERAL']
Especially Lan Vu.,1,['HOTEL#GENERAL']
"If I have a chance to come back, I will recommend this place to everyone ????",1,['HOTEL#GENERAL']
"Beautiful view, friendly and lovely staff, my husband and I are very impressed with Barefoot restaurant.",1,['FOOD&DRINKS#MISCELLANEOUS']
"Delicious food, friendly smiles, everyone is welcoming.",1,['HOTEL#GENERAL']
"As soon as I arrived, I was very happy to be warmly welcomed.",1,['HOTEL#GENERAL']
"The scene is also very beautiful, the romantic sea view, the sun is a bit harsh today but the restaurant is cool and the water is delicious and suits my taste.",1,['HOTEL#GENERAL']
"Fresh lobster and delicious sauce, hope to have a chance to come back.",1,['HOTEL#GENERAL']
Thank you,1,['HOTEL#GENERAL']
"This Tet holiday, I went to Da Nang and had the opportunity to visit Intercon on Son Tra, a truly 6-star resort.",1,['HOTEL#GENERAL']
"Everywhere my family goes, the staff welcomes us.",1,['HOTEL#GENERAL']
"If we have the opportunity, we will come back and stay a few nights.",1,['HOTEL#GENERAL']
I like the playground.,1,['HOTEL#GENERAL']
It's the first time I've seen the staff at the children's playground being so dedicated.,1,['HOTEL#GENERAL']
My son didn't want to leave.,1,['HOTEL#GENERAL']
The employees are beautiful and skillful.,1,['HOTEL#GENERAL']
Very pleased.,1,['HOTEL#GENERAL']
"Thank you everyone here, Tu, Linh and Thu.",1,['HOTEL#GENERAL']
"Very beautiful view, professional staff, especially Hieu Tran Lounge Bar, who mixes delicious drinks, speaks charmingly, and has experience mixing drinks to suit the guest's mood.",1,['FOOD&DRINKS#MISCELLANEOUS']
Will visit Intercontinental a few more times with my family,1,['HOTEL#GENERAL']
"The service staff is very good, firstly at the reception we met VO TINH, next we met Tien who was very cute and Hieu at the Club restaurant who was very cheerful and thoughtful helped us to be most impressed.",1,['HOTEL#GENERAL']
"In general, the other children serving are also cute and enthusiastic, so we want to come back here to rest every year.",1,['HOTEL#GENERAL']
"A thoughtful year-end trip with family and friends, the air is really fresh, my mother loves the pho at Citron restaurant, it's more special than other places she's eaten, all the staff Everyone here is very wonderful, they always smile and greet us, making us feel like we are vacationing at home.",1,['HOTEL#GENERAL']
"Thank you all, see you next year!",1,['HOTEL#GENERAL']
My family stayed here for 3 days and 2 nights and was very impressed with the service of the staff here.,1,['HOTEL#GENERAL']
"This afternoon, when I stopped by Long Barr, I was served by a very enthusiastic staff member named Huong Huynh.",1,['FOOD&DRINKS#MISCELLANEOUS']
The photographer was super thoughtful.,1,['HOTEL#GENERAL']
", will come back Intercon Da Nang",1,['HOTEL#GENERAL']
It's hard to find a point to criticize InterContinental Danang.,1,['HOTEL#GENERAL']
"To be fair, it's worth every penny spent.From the landscape, rooms, staff to the food, everything is wonderfulA huge plus point is that the Resort cares and respects the living space of surrounding wild animals.",1,['HOTEL#GENERAL']
"10 points, no buts.",1,['HOTEL#GENERAL']
Friendly and cheerful staff.,1,['HOTEL#GENERAL']
Good service.The view of nature and the sea is beautiful.,1,['HOTEL#GENERAL']
Light and airyAll are beautiful .,1,['HOTEL#GENERAL']
A beautiful and fun memory with friends.Had really good and interesting experiences.,1,['HOTEL#GENERAL']
"- Once again, I came back and experienced the Intercontinental Danang Hotel- Intercontinental Danang Hotel is a very beautiful hotel and very good in terms of services, everyone should come to experience the majestic scenery and beautiful space of Intercontinental Hotel, it will not disappoint you.- Once again, thank you everyone for giving me a very good and very satisfying experience- I promise I'll come back one day soon",1,['HOTEL#GENERAL']
"A wonderful experience, from the beautiful location to the meticulous, detailed design of each area.",1,['HOTEL#GENERAL']
"Really impressed with the friendliness; Enthusiasm of all staff, they always ""hello"" with a smile on their lips.",1,['HOTEL#GENERAL']
"Especially Citron restaurant, the food and staff here are truly different, professional, friendly, and fast.",1,['HOTEL#GENERAL']
"Big thanks to Mr. Hai, manager here, you and your team are truly outstanding.",1,['HOTEL#GENERAL']
"Everywhere I like here, especially my kids really like the kids club area.",1,['FACILITIES#GENERAL']
"Guided by Trinh, Linh, and Hoai, many activities were created for the children to enjoy.",1,['HOTEL#GENERAL']
Parents are very happy and comfortable when coming here.,1,['HOTEL#GENERAL']
Thank you,1,['HOTEL#GENERAL']
"The girls at the play area are very dedicated, every day they do every hairstyle for my child, no matter what they like, they always beg to be allowed to play.",1,['HOTEL#GENERAL']
"On the last day, I still accepted to give up swimming to return to drawing.",1,['HOTEL#GENERAL']
"The service here is very high quality, even the baby area is completely different, every employee is considerate with customers.",1,['HOTEL#GENERAL']
"Especially those at the beach and restaurants, taking photos for you with all angles properly aligned, I also relax ??Will definitely recommend Intercon DN to friends, and will bring my family next year.N.",1,['HOTEL#GENERAL']
"Anh sent his thanks to Ms. Tu, Ms. Thu, and Ms. Trinh at the amusement park.",1,['HOTEL#GENERAL']
"At the airport, he still reminded his father to write thank you to them.",1,['HOTEL#GENERAL']
"3 days at Intercontinental Da Nang, great weather, beautiful resort architecture, 5-star service, 3 days here was much more satisfactory than in Nha Trang.Special thanks to Ms. Tu, Ms. Trinh, Ms. Hoai, Ms. Linh at the game area, the two children loved it, they woke up and asked to come down, had breakfast quickly so they could go down to play.",1,['HOTEL#GENERAL']
"Thanks to them, parents can relax and not have to worry about their children.",1,['HOTEL#GENERAL']
"Next time, I will prioritize coming to Intercontinental DN to visit you guys.",1,['HOTEL#GENERAL']
"5-star resort, my family and I had a wonderful evening at Barefoot and Long bar.",1,"['FOOD&DRINKS#MISCELLANEOUS', 'HOTEL#GENERAL']"
Thank you Thu tran and Huong hyung for taking good care of our house.,1,['HOTEL#GENERAL']
There is nothing better.,1,['HOTEL#GENERAL']
We will come back.,1,['HOTEL#GENERAL']
if you have a chance,1,['HOTEL#GENERAL']
"The resort has many beautiful scenery, my children can play at the kid's club all day, Ms. Trinh and Ms. Linh are very fun and humorous.",1,['HOTEL#GENERAL']
"Good service, the long bar restaurant has a super nice view, there are some interesting cocktails, Huong pvu is ok, Will come back for more",1,['FOOD&DRINKS#MISCELLANEOUS']
Your children's summer vacation is complete thanks to a vacation at Intercon Da Nang.,1,['HOTEL#GENERAL']
"Special thanks to the girls at kid club, the children spent 3 days playing here, were well taken care of by the girls, and participated in many toy making activities.",1,['HOTEL#GENERAL']
"Mom promised to let her children come play with the aunts next time.Thank you to Ms. Tu, Ms. Trinh, Ms. Hoai, and Ms. Linh.",1,['HOTEL#GENERAL']
"The hotel is designed in a unique architectural style, combining European modernity and traditional Vietnamese cultural beauty.",1,['HOTEL#GENERAL']
"The villa has a private beach and swimming pool, from which you can admire the majestic natural scenery of Son Tra peninsula.",1,['HOTEL#GENERAL']
"In particular, my family received thoughtful care from two brothers, Hero Nguyen and Stevn.",1,['HOTEL#GENERAL']
The two of them were very friendly and cheerful and helped my family take beautiful photos to preserve memories of this trip.,1,['HOTEL#GENERAL']
Thank you both very much.,1,['HOTEL#GENERAL']
Great vacation.,1,['HOTEL#GENERAL']
Service is very good and food is delicious!!,1,['HOTEL#GENERAL']
"Thank you, Butler Hai, for taking care of the family so thoughtfully.",1,['HOTEL#GENERAL']
Highly recommend.,1,['HOTEL#GENERAL']
The beach and swimming pool are both very close to the room and clean.,1,['HOTEL#GENERAL']
The service staff at the swimming pool (a Dong) is very enthusiastic,1,['HOTEL#GENERAL']
"The trip to Da Nang was so wonderful, a vacation and planned 1 day in advance for a 1 week trip.",1,['HOTEL#GENERAL']
"We had the opportunity to stay at IC for 2 nights, this time was our family's second return.",1,['HOTEL#GENERAL']
"IC's service is truly great, 5* for the enthusiastic service style of the staff from the receptionist to the staff.",1,['HOTEL#GENERAL']
"From IC's service staff to IC's workers, wherever we go, we hear the sound of HELLO and always have a bright smile on our faces.Thank you IC for contributing to my family's memorable vacation.",1,['HOTEL#GENERAL']
"Trung Dao is a name I cannot help but mention during the last vacation because of his professionalism, professional enthusiasm, and dedication to IC's development.",1,['HOTEL#GENERAL']
"More than that, it is about preserving the entire Son Tra nature reserve.",1,['HOTEL#GENERAL']
"Mr. Trung introduced entertainment services to his family, provided more information about Son Tra peninsula, asked questions, and took care of his family very enthusiastically and thoughtfully.",1,['HOTEL#GENERAL']
"Thanks to him, I learned a lot more about During IC's entertainment activities, he taught my child swimming techniques, how to breathe to increase endurance, and other activities, so my family felt very excited.Memorable vacation for my family and will definitely come back.",1,['HOTEL#GENERAL']
"Tu, Thu, Hoai, Linh in the children's area are very happy and take care of the children, many beautiful and modern toys, the children love to play, there is a game machine for the older two, 11 years old, the younger one likes to draw.",1,['HOTEL#GENERAL']
", made toys and was very excited.Hotel with quality service in all aspects.",1,['HOTEL#GENERAL']
"However, more electric vehicles need to be arranged.",1,['HOTEL#GENERAL']
It's hot and having to wait 15 minutes in the hot sun is not good for children and the elderly.,1,['HOTEL#GENERAL']
"The hotel area has majestic landscape, close to nature, unique and beautiful designDedicated, friendly staff, very thoughtful customer service.",1,['HOTEL#GENERAL']
It was the first time I rode a cable car with a unique design.,1,['HOTEL#GENERAL']
"The staff in the cable area were friendly and always happily welcomed me and my family warmly.I also really like the girls at the amusement park, Ms. Tu, Linh, Trinh love children and are gentle with customers.",1,['HOTEL#GENERAL']
Cong at the beach restaurant is also thoughtful and polite.,1,['HOTEL#GENERAL']
"If I have a chance, I will choose to come back because of the great service",1,['HOTEL#GENERAL']
"The trip to Da Nang was so wonderful, choosing Intercontinental Da Nang, my family had 3 fun days together.",1,['HOTEL#GENERAL']
"Sincerely thank the staff for their dedication, always smiling and saying Hello when meeting guests, asking about the family anytime, anywhere to make sure we have the best time.",1,['HOTEL#GENERAL']
"Especially thank you to the teachers at the children's play area, they are so wonderful, the children really enjoy playing with them, thank you Ms. Hoai, Ms. Tu, Ms. Trinh and Ms. Linh, you will come back.",1,['HOTEL#GENERAL']
"Thank you Hien and Dong at the swimming pool, thoughtfully asking and serving towels thoughtfully for the whole family.See everyone again at Intercontinenta Danang",1,['HOTEL#GENERAL']
"Great space, 5-star friendly service, Xuan Long bar staff is very enthusiastic and attentive, thank you Intercontinental Danang for making my vacation more perfect.",1,['FOOD&DRINKS#MISCELLANEOUS']
???? will definitely come back,1,['HOTEL#GENERAL']
"This year the family returned to Da Nang and still chose Intercon, the service quality will forever be the number 1 class in Vietnam.",1,['HOTEL#GENERAL']
The children did not forget to go to the Kid club area to visit the girls and were kept occupied by the girls with many exciting activities.,1,['HOTEL#GENERAL']
"Ms. Tu still remembered the children, Ms. Trinh guided the children in making toys, this was truly the perfect choice.",1,['HOTEL#GENERAL']
Perfect for your children's summer.,1,['HOTEL#GENERAL']
I will definitely bring my family back.,1,['HOTEL#GENERAL']
"Although this time I came to the hotel for a different purpose than the previous times, which was to relax, but I still found it worthy of being an impressive destination.",1,['HOTEL#GENERAL']
"From the reception staff to the restaurant staff, you are all professional, very thoughtful and dedicated, especially the swimming pool staff Hien Nguyen.Thank you team.",1,['HOTEL#GENERAL']
"D?ch v? và m?i th? r?t t?t, chu?n d?ch v? sang tr?ng, t? l? tân ??n nhà hàng, d?ch v? phòng, nhân viên r?t t? m? và chu ?áo.",1,"['FACILITIES#DESIGN&FEATURES', 'FACILITIES#QUALITY', 'HOTEL#DESIGN&FEATURES', 'ROOMS#GENERAL', 'SERVICE#GENERAL']"
? m?t l?n thì l?i mu?n quay l?i l?n n?a.,1,['HOTEL#GENERAL']
Nói chuy?n v?i các b?n nhân viên th?y ???c tinh th?n nhi?t huy?t v?i công vi?c r?t ?áng ng??ng m?.,1,['SERVICE#GENERAL']
"Tôi g?i l?i c?m ?n ??n b?n Th?nh ?ã ??a ?ón ch?m sóc gia ?ình chu ?áo, lên l?ch s?n sàng cho c? nhà, g?i ?âu có ?ó.",1,['SERVICE#GENERAL']
"R?i tôi c?ng r?t ?n t??ng v?i các b?n Tú và Trinh t?i khu vui ch?i cho tr?, các b?n làm vi?c r?t có tâm v?i các cháu.",1,['FACILITIES#GENERAL']
Hy v?ng gia ?ình s? quay l?i s?m.,1,['HOTEL#GENERAL']
"Tôi cùng gia ?ình lên k? ho?ch cho m?t chuy?n ngh? d??ng, và quy?t ??nh ch?n InterContinental danang resort cho k? ho?ch này, không ngoài d? ?oán d?ch v? trên c? tuy?t v?i, c?nh v?t r?t  ??p và ngoài ra, r?t c?m ?n b?n Ly Pham, ph?c v? r?t chu ?áo, trò chuy?n cùng b?n r?t vui, b?n ?ã h??ng d?n tôi r?t nhi?u ch? tham quan d??i ph? th?t thú v?, c?m ?n vì b?n ?ã giúp kì ngh? c?a tôi cùng gia ?ình thêm vui v? và tr?n v?n",1,"['FACILITIES#DESIGN&FEATURES', 'HOTEL#GENERAL', 'SERVICE#GENERAL']"
Tien pham.,1,['HOTEL#GENERAL']
Nghia h? b?i th?t vui v? hoa f??ng.,1,['FACILITIES#GENERAL']
Nhi?t tình.,1,['SERVICE#GENERAL']
M?i th? ??u tuy?t v?i.,1,['HOTEL#GENERAL']
Ch?o ?nh r?t ??p.,1,['FACILITIES#DESIGN&FEATURES']
Nhân viên thân thi?n.,1,['SERVICE#GENERAL']
?? ?n ngon quá.,1,['FOOD&DRINKS#QUALITY']
Kid  vui v?.,1,['HOTEL#GENERAL']
"V?ew ??p, cô Hoài.",1,['FACILITIES#DESIGN&FEATURES']
"Trinh, Th? vui v?, nhi?t tình …..",1,['SERVICE#GENERAL']
Khách s?n Intercontinental ?à N?ng th?t s? là tuy?t tác.,1,['HOTEL#GENERAL']
"Mình v?a m?i ? ?ây 2 ?êm, d?ch v? thì trên c? tuy?t v?i, t? d?ch v? phòng ??n nhà hàng và các trò ch?i gi?i trí trên bi?n, nhân viên ? ?ây luôn vui v? và nói Xin chào m?i khi g?p khách, r?t là Vi?t Nam.Mình g?i l?i c?m ?n ??n b?n Tú, Trinh, Linh ? Kid club, b?n Anh trên l? tân b?n Ly t?i Long bar, b?n ?ông qu?n lý ? bi?n ?ã ch?m sóc cho kì ngh? c?a gia ?ình mình ???c tr?n v?n.",1,"['FACILITIES#MISCELLANEOUS', 'FOOD&DRINKS#MISCELLANEOUS', 'ROOMS#GENERAL', 'SERVICE#GENERAL']"
Mình ch?c ch?n s? quay l?i.,1,['HOTEL#GENERAL']
Tuy?t v?i.,1,['HOTEL#GENERAL']
R?t thích s? ph?c v? c?a b?n Phúc.,1,['SERVICE#GENERAL']
"He is the best , c?m ?n B?n Phúc ?ã cho gia ?ình m?t k? ngh? th?t ??m ?m và vui v?.",1,['HOTEL#MISCELLANEOUS']
We all have you Phúc.,1,['HOTEL#GENERAL']
